strategy,num_rungs,profit_target_pct,buy_depth_min,buy_depth_max,depth_range,avg_depth,sell_depth_min,sell_depth_max,expected_profit_per_dollar,expected_timeframe_hours,expected_monthly_fills,expected_monthly_profit,capital_efficiency,risk_adjusted_return,profit_volatility,joint_touch_prob,any_fill_probability,expected_fills,avg_buy_touch_prob,avg_sell_touch_prob
Moderate,20,200.00000000000003,1.0,8.0,7.0,4.5,1.0,8.0,1.9656521095903767,51.248630877209486,14.049155805256596,2761575.2746566515,27.615752746566514,0.421475138092675,4.663743912596249,0.26034488369887987,0.9999999999977792,14.049155805256595,0.7024577902628297,0.7151076823517839
Conservative,20,200.00000000000003,0.5,3.0,2.5,1.75,0.5,3.0,1.2445096487461502,40.999514780220736,17.56118343984274,2185506.22342854,21.8550622342854,0.791579264300569,1.5721857618968653,0.3962513608738575,1.0,17.56118343984274,0.878059171992137,0.8994711567645876
Aggressive,20,200.00000000000003,2.0,15.0,13.0,8.5,2.0,15.0,1.7772143769979236,70.70066281574204,10.18378005700516,1809876.0329494304,18.098760329494304,0.187798834148399,9.46339408898335,0.14586327990589082,0.999999897347679,10.18378005700516,0.509189002850258,0.4980341106489482
Very Aggressive,20,200.00000000000003,3.0,25.0,22.0,14.0,3.0,25.0,1.190252584186214,105.67799377462394,6.813149779655363,810936.9131682529,8.109369131682529,0.06505171343900969,18.297021266044823,0.07778292378374821,0.9999391193608302,6.8131497796553635,0.34065748898276815,0.3129580299369265
