profit_target_pct,num_rungs,buy_depth_min,buy_depth_max,sell_depth_min,sell_depth_max,expected_profit_per_dollar,expected_profit_after_costs,expected_timeframe_hours,expected_monthly_profit,expected_monthly_fills,total_allocation,max_single_loss,sharpe_ratio,avg_buy_touch_prob,avg_sell_touch_prob,joint_touch_prob,profit_range_min,profit_range_max,profit_range_before_costs_min,profit_range_before_costs_max,profitable_pairs,total_pairs,profitability_ratio,total_cost_pct,mean_reversion_rate,expected_profit_per_dollar_per_month,rank
61.615502775833434,20,1.5,2.5,1.5,2.5,2.6490594051868688,2.6490594051868688,41.86752337866851,4555614.036406859,17.19710032733486,100000.0,6250.000000000002,4.191432762465564,0.8598550163667429,0.8838566125960702,0.6843917496057672,2.7956852791878033,4.878205128205121,3.0456852791878033,5.128205128205121,20,20,1.0,0.25,0.9,45.55614036406858,1
34.19951893353393,20,1.5,2.5,1.5,2.5,2.6490594051868688,2.6490594051868688,41.86752337866851,4555614.036406859,17.19710032733486,100000.0,6250.000000000002,4.191432762465564,0.8598550163667429,0.8838566125960702,0.6843917496057672,2.7956852791878033,4.878205128205121,3.0456852791878033,5.128205128205121,20,20,1.0,0.25,0.9,45.55614036406858,2
5.848035476425731,20,1.0,2.0,1.0,2.0,2.1227827237181485,2.1227827237181485,40.19932705768193,3802062.554141674,17.910747584577063,99999.99999999999,6666.666666666662,3.393100731212936,0.8955373792288531,0.917444765523334,0.7398378250977907,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,20,20,1.0,0.25,0.9,38.02062554141675,3
3.24593634702017,20,1.0,2.0,1.0,2.0,2.1227827237181485,2.1227827237181485,40.19932705768193,3802062.554141674,17.910747584577063,99999.99999999999,6666.666666666662,3.393100731212936,0.8955373792288531,0.917444765523334,0.7398378250977907,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,20,20,1.0,0.25,0.9,38.02062554141675,4
1.801648230654411,20,1.0,2.0,1.0,2.0,2.1227827237181485,2.1227827237181485,40.19932705768193,3802062.554141674,17.910747584577063,99999.99999999999,6666.666666666662,3.393100731212936,0.8955373792288531,0.917444765523334,0.7398378250977907,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,20,20,1.0,0.25,0.9,38.02062554141675,5
1.0,20,1.0,2.0,1.0,2.0,2.1227827237181485,2.1227827237181485,40.19932705768193,3802062.554141674,17.910747584577063,99999.99999999999,6666.666666666662,3.393100731212936,0.8955373792288531,0.917444765523334,0.7398378250977907,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,20,20,1.0,0.25,0.9,38.02062554141675,6
10.536102768906645,20,1.0,2.0,1.0,2.0,2.1227827237181485,2.1227827237181485,40.19932705768193,3802062.554141674,17.910747584577063,99999.99999999999,6666.666666666662,3.393100731212936,0.8955373792288531,0.917444765523334,0.7398378250977907,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,20,20,1.0,0.25,0.9,38.02062554141675,7
18.9823509115937,20,1.0,2.0,1.0,2.0,2.1227827237181485,2.1227827237181485,40.19932705768193,3802062.554141674,17.910747584577063,99999.99999999999,6666.666666666662,3.393100731212936,0.8955373792288531,0.917444765523334,0.7398378250977907,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,20,20,1.0,0.25,0.9,38.02062554141675,8
34.19951893353393,15,1.5,2.5,1.5,2.5,2.6500190992544455,2.6500190992544455,55.82310536603821,3417964.1905482416,12.89788511905386,99999.99999999997,8333.333333333332,4.123408896862112,0.859859007936924,0.8838508841006957,0.684404131104475,2.7956852791878033,4.878205128205121,3.0456852791878033,5.128205128205121,15,15,1.0,0.25,0.9,34.17964190548243,9
61.615502775833434,15,1.5,2.5,1.5,2.5,2.6500190992544455,2.6500190992544455,55.82310536603821,3417964.1905482416,12.89788511905386,99999.99999999997,8333.333333333332,4.123408896862112,0.859859007936924,0.8838508841006957,0.684404131104475,2.7956852791878033,4.878205128205121,3.0456852791878033,5.128205128205121,15,15,1.0,0.25,0.9,34.17964190548243,10
10.536102768906645,15,1.0,2.0,1.0,2.0,2.1246555183939644,2.1246555183939644,53.598984069290104,2854068.971281372,13.433090430766743,100000.0,8888.88888888889,3.339768237931742,0.8955393620511162,0.9174340133030233,0.7398440818749081,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,15,15,1.0,0.25,0.9,28.54068971281372,11
3.24593634702017,15,1.0,2.0,1.0,2.0,2.1246555183939644,2.1246555183939644,53.598984069290104,2854068.971281372,13.433090430766743,100000.0,8888.88888888889,3.339768237931742,0.8955393620511162,0.9174340133030233,0.7398440818749081,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,15,15,1.0,0.25,0.9,28.54068971281372,12
1.801648230654411,15,1.0,2.0,1.0,2.0,2.1246555183939644,2.1246555183939644,53.598984069290104,2854068.971281372,13.433090430766743,100000.0,8888.88888888889,3.339768237931742,0.8955393620511162,0.9174340133030233,0.7398440818749081,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,15,15,1.0,0.25,0.9,28.54068971281372,13
1.0,15,1.0,2.0,1.0,2.0,2.1246555183939644,2.1246555183939644,53.598984069290104,2854068.971281372,13.433090430766743,100000.0,8888.88888888889,3.339768237931742,0.8955393620511162,0.9174340133030233,0.7398440818749081,1.7702020202020106,3.831632653061237,2.0202020202020106,4.081632653061237,15,15,1.0,0.25,0.9,28.54068971281372,14
