num_rungs,profit_target_pct,buy_depth_min,buy_depth_max,depth_range,avg_depth,sell_depth_min,sell_depth_max,expected_profit_per_dollar,expected_timeframe_hours,expected_monthly_fills,expected_monthly_profit,capital_efficiency,risk_adjusted_return,profit_volatility,allocation_ratio,min_allocation,max_allocation,joint_touch_prob,avg_buy_touch_prob,avg_sell_touch_prob
20,200.00000000000003,2.0,30.0,28.0,16.0,0.6,24.0,1.1548984092473673,114.80995662079296,6.271233098520329,724263.7129500567,7.242637129500567,0.05136466532102812,22.484297367251898,1.0,5000.0,5000.0,0.0946442767489741,0.31356165492601645,0.38474988891694506
15,200.00000000000003,2.0,30.0,28.0,16.0,0.6,24.0,1.141081572926408,151.70001328609166,4.746209208578968,541581.1869163093,5.415811869163093,0.049873270485867705,22.87962192593224,1.0,6666.666666666667,6666.666666666667,0.09694637255493983,0.31641394723859784,0.3872678315547199
10,200.00000000000003,2.0,30.0,28.0,16.0,0.6,24.0,1.1101414627341901,223.29787358754743,3.2243925498811916,357953.1861754331,3.5795318617543312,0.04685312972242773,23.694072718535725,1.0,10000.0,10000.0,0.101826734358786,0.32243925498811915,0.3925159328363592
